day,hour,actual,AR(24) on diff,XGBoost(direct),Naive,Drift
2014-07-05,6,0.35,0.33841409082900564,0.2925083041191101,0.31,0.31003162412468943
2014-07-05,7,0.31,0.3432610463186936,0.3326466381549835,0.31,0.3100361418567879
2014-07-05,8,0.33,0.34763086781923486,0.46916845440864563,0.31,0.3100406595888864
2014-07-05,9,0.3,0.34858525337973967,0.7113705277442932,0.31,0.31004517732098485
2014-07-05,10,0.35,0.3443501572329405,0.5279761552810669,0.31,0.31004969505308333
2014-07-05,11,0.33,0.3447855221877333,0.43210846185684204,0.31,0.31005421278518186
2014-07-05,12,0.32,0.3406467180799168,0.32725560665130615,0.31,0.31005873051728033
2014-07-05,13,0.35,0.340914570756629,0.30306482315063477,0.31,0.3100632482493788
2014-07-05,14,0.31,0.3393903079019798,0.25497445464134216,0.31,0.3100677659814773
2014-07-05,15,0.31,0.34014369159837077,0.24848979711532593,0.31,0.31007228371357576
2014-07-05,16,0.32,0.33919460996217576,0.4449181854724884,0.31,0.3100768014456743
2014-07-05,17,0.31,0.3393645324840269,0.3642307221889496,0.31,0.31008131917777276
2014-07-05,18,0.32,0.3385721012370996,0.39184173941612244,0.31,0.31008583690987124
2014-07-05,19,0.34,0.3376283820615215,0.5189589858055115,0.31,0.3100903546419697
2014-07-05,20,0.38,0.33507253406837173,0.5347117185592651,0.31,0.31009487237406824
2014-07-05,21,0.34,0.33086572777589673,0.4106704294681549,0.31,0.3100993901061667
2014-07-05,22,0.32,0.32828507730661555,0.48490631580352783,0.31,0.3101039078382652
2014-07-05,23,0.31,0.3258481648277579,0.490565687417984,0.31,0.31010842557036367
2014-07-06,0,0.32,0.31586970145952914,0.27141502499580383,0.31,0.3100045055192611
2014-07-06,1,0.29,0.32103819545027895,0.26857516169548035,0.31,0.3100090110385222
2014-07-06,2,0.3,0.31831763605920393,0.26354682445526123,0.31,0.3100135165577833
2014-07-06,3,0.32,0.3201496387457574,0.28246843814849854,0.31,0.3100180220770444
2014-07-06,4,0.29,0.3235505368319443,0.48548001050949097,0.31,0.3100225275963055
2014-07-06,5,0.31,0.32488353964325495,0.5454819798469543,0.31,0.31002703311556656
2014-07-06,6,0.31,0.3316317105460707,0.34891897439956665,0.31,0.3100315386348277
2014-07-06,7,0.3,0.32942567396731975,0.46024006605148315,0.31,0.31003604415408875
2014-07-06,8,0.34,0.3268133528684748,0.4743885397911072,0.31,0.3100405496733499
2014-07-06,9,0.28,0.32864010113436476,0.7363438606262207,0.31,0.31004505519261094
2014-07-06,10,0.42,0.32758630496699637,0.6468270421028137,0.31,0.31004956071187206
2014-07-06,11,0.38,0.32687629633710696,0.5173829197883606,0.31,0.31005406623113313
2014-07-06,12,0.38,0.3249581914611081,0.33639243245124817,0.31,0.31005857175039425
2014-07-06,13,0.39,0.32282750979981634,0.27205878496170044,0.31,0.3100630772696553
2014-07-06,14,0.34,0.32410447539910164,0.2470681518316269,0.31,0.31006758278891644
2014-07-06,15,0.35,0.3233019773020207,0.273140013217926,0.31,0.3100720883081775
2014-07-06,16,0.34,0.32519419031677965,0.47670379281044006,0.31,0.31007659382743863
2014-07-06,17,0.36,0.32622319604630284,0.4350545406341553,0.31,0.3100810993466997
2014-07-06,18,0.34,0.32866361721907933,0.41232070326805115,0.31,0.3100856048659608
2014-07-06,19,0.29,0.33087816539440107,0.6429960131645203,0.31,0.3100901103852219
2014-07-06,20,0.33,0.3320239223167905,0.5198710560798645,0.31,0.310094615904483
2014-07-06,21,0.34,0.3312254431931013,0.4358806312084198,0.31,0.3100991214237441
2014-07-06,22,0.3,0.3269610818978763,0.4144071936607361,0.31,0.3101036269430052
2014-07-06,23,0.38,0.32400475965965614,0.4668295085430145,0.31,0.31010813246226626
2014-07-07,0,0.31,0.35440596342715325,0.3159986734390259,0.38,0.3800123567737587
2014-07-07,1,0.37,0.33234482095562706,0.28616592288017273,0.38,0.38002471354751743
2014-07-07,2,0.34,0.3257154975601217,0.27609437704086304,0.38,0.38003707032127615
2014-07-07,3,0.28,0.32232937260663397,0.25416919589042664,0.38,0.3800494270950348
2014-07-07,4,0.32,0.3234330898594895,0.46749061346054077,0.38,0.3800617838687935
2014-07-07,5,0.28,0.31908157712137225,0.4092542827129364,0.38,0.38007414064255224
2014-07-07,6,0.32,0.3265236027449417,0.30923715233802795,0.38,0.38008649741631095
2014-07-07,7,0.44,0.3289124603570436,0.3386823236942291,0.38,0.38009885419006967
2014-07-07,8,2.09,0.3340243084802859,0.2545892000198364,0.38,0.3801112109638284
2014-07-07,9,1.56,0.3429622600234912,0.39515557885169983,0.38,0.38012356773758704
2014-07-07,10,1.02,0.3485439272802104,0.34298285841941833,0.38,0.38013592451134576
2014-07-07,11,1.04,0.35786446621735624,0.3712908625602722,0.38,0.3801482812851045
2014-07-07,12,1.51,0.3554092071981304,0.42159873247146606,0.38,0.3801606380588632
2014-07-07,13,0.74,0.3556511472861901,0.3772580325603485,0.38,0.3801729948326219
2014-07-07,14,0.64,0.350663338685877,0.25898516178131104,0.38,0.3801853516063806
2014-07-07,15,0.66,0.34320008937796515,0.27885302901268005,0.38,0.3801977083801393
2014-07-07,16,0.71,0.3410070730067903,0.6204507350921631,0.38,0.380210065153898
2014-07-07,17,0.84,0.3384738590997291,0.6676247119903564,0.38,0.3802224219276567
2014-07-07,18,0.37,0.3347564016701705,0.5514055490493774,0.38,0.3802347787014154
2014-07-07,19,0.82,0.33534778989002006,0.5662044882774353,0.38,0.38024713547517414
2014-07-07,20,0.66,0.332888671700245,0.460146963596344,0.38,0.38025949224893285
2014-07-07,21,0.4,0.33551251582443875,0.5279058814048767,0.38,0.3802718490226915
2014-07-07,22,0.28,0.33817601537157727,0.4792397618293762,0.38,0.3802842057964502
2014-07-07,23,0.28,0.3380788539215821,0.3803233504295349,0.38,0.38029656257020894
